GivenName,Surname,NationalID,Birthday,Gender,Age,StreetAddress,City,ZipCode,CountryFull,TelephoneNumber,EmailAddress,Occupation
Raissa,Alves,927.142.796-35,12/4/1996,female,21,"Avenida Henry Ford 772","São Paulo",03109-001,Brazil,"(11) 8766-4570",RaissaOliveiraAlves@einrot.com,"Electronic prepress technician"
Laura,Rodrigues,338.736.853-45,4/7/1994,female,24,"Rua Mariópolis 1819","Foz do Iguaçu",85859-697,Brazil,"(45) 2202-7535",LauraPintoRodrigues@jourrapide.com,"Enlisted personnel"
Paulo,Ferreira,336.445.194-04,4/22/1974,male,44,"Avenida Perimetral 962",Altamira,68374-270,Brazil,"(93) 5401-3856",PauloOliveiraFerreira@cuvox.de,"Administrative assistant for human resource"
Beatrice,Correia,214.197.082-28,1/9/1992,female,26,"Praça Wilma de Jesus 1062","Duque de Caxias",25235-030,Brazil,"(21) 5307-5968",BeatriceCunhaCorreia@einrot.com,"Electromechanical engineering technician"
Guilherme,Alves,665.588.942-11,2/27/1985,male,33,"Rua Cristino Antunes 1396",Tatuí,18273-292,Brazil,"(15) 4386-4897",GuilhermeSouzaAlves@rhyta.com,Lithographer
Giovana,Costa,810.962.358-11,8/15/1972,female,45,"Rua Trinta e Seis 909",Petrolina,56312-380,Brazil,"(87) 5263-5574",GiovanaOliveiraCosta@einrot.com,"Brake repairer"
Emily,Castro,395.136.685-09,12/18/1973,female,44,"Rodovia Waldomiro Corrêa de Camargo 258",Itu,13308-200,Brazil,"(11) 5438-9812",EmilySouzaCastro@fleckens.hu,"Medical record coder"
Beatriz,Pinto,157.792.034-15,6/10/1970,female,48,"Rua João Carlos de Souza 1515",Natal,59010-560,Brazil,"(84) 6626-8511",BeatrizAlmeidaPinto@gustr.com,"Tool grinder"
Lucas,Alves,815.100.275-13,3/25/1985,male,33,"Rua Quarenta e Sete 564","Belo Horizonte",31770-470,Brazil,"(31) 5360-2880",LucasMeloAlves@superrito.com,"Fire dispatcher"
Aline,Oliveira,801.043.907-00,4/22/1976,female,42,"Rua Monsenhor Azarias Sobreira 885",Fortaleza,60175-750,Brazil,"(85) 8124-5937",AlineMeloOliveira@cuvox.de,"Physical oceanographer"
Bruna,Silva,469.509.587-49,8/25/1969,female,48,"Rua Octávio Gerbin 1628","Bragança Paulista",12926-460,Brazil,"(11) 8198-2069",BrunaGoncalvesSilva@einrot.com,"Cable splicer"
Anna,Castro,899.373.622-70,9/24/1993,female,24,"Rua Tom Jobim 724","São Bernardo do Campo",09821-040,Brazil,"(11) 8503-5059",AnnaAzevedoCastro@dayrep.com,"Log mover"
Isabella,Ribeiro,751.294.743-76,6/19/1991,female,27,"Quadra QNO 11 Conjunto P 1339",Ceilândia,72255-116,Brazil,"(61) 5139-6494",IsabellaCunhaRibeiro@cuvox.de,"Pilates instructor"
Gabriela,Silva,535.811.846-21,10/11/1972,female,45,"Rua Guararapes 972",Joinville,89212-010,Brazil,"(47) 7832-4401",GabrielaCorreiaSilva@armyspy.com,"Lathe and turning machine tool setter"
